 ,Public Figure Name,Statement,Positive/Negative,
,Mashi Nehansa ,"කෙනෙක්ගේ සාර්ථකත්වයට කැපවීම කියන එක තියෙන්නම ඕන. අපි හිතන තරම් ඉක්මණට අපිට උඩට එන්න බෑ..step by step අපි අපේ හැකියාවන් දියුණු කරගෙන ඉස්සරහට යන්න ඕන.
Brissbella academy එකේ course කරන්න පටන් ගන්නවා කිව්වාම හැමෝටම ප්‍රශ්නේ අක්කේ course එක කොච්චර කල් ද? ඉක්මණට ඉවර වෙනවද? සැලෝන් එකක් දාන්න පුලුවන් ද ඉක්මණට..? 🤦🤦
මම කියන්න යන්නේ මම ගියපු ගමන ගැන.
මේ තියෙන්නේ මගේ අවුරුදු 6 ක මහන්සිය.
එහෙම එකේ ඔයාලට මාස 6ක් මහන්සි වෙලා ඉගෙනගන්න එක අමාරු දෙයක් නෙවෙයි. කරන දේ හරියට කලා නම් ඒ පැත්තෙන් ඉහළට යන එක හරිම පහසුයි.
මම මුලින්ම course එක කලේ dreamron college එකේ.මාස 7ක diploma එක.මම එක දවසක්වත් යන්නේ නැතුව ඉඳලා නෑ.හැමදාම ගියා.exam එකත් theory , practical 2 ma පාස් උනා. ඒ වගේම final grauation එකට bridal dressing එකට kandy branch එකෙන් select una.
මට මූලික දැනුම ආවේ ඒකෙන්. ඊට පස්සේ NVQ level 4 කලා. එක දිගට මාස 6ක් , සතියට දවස් 6ක් , උදේ 8 ඉදලා හවස 4 වෙනකන්. එහෙම ඉගෙනගෙන මාස 6ක් සැලෝන් එකක training උනා. ඔක්කම කරලා තමයි මම මගෙම සැලෝන් එකක් දැම්මේ. මේ ඔක්කම කරන්න අවුරුදු 2ක් විතර ගියා. මාසෙන් දෙකෙන් සැලෝන් කෝස් එකක් කරලා දියුණු වෙන්න බෑ. ඒ නිසා හදිසි වෙන්න එපා. හිමින් තමන්ගේ පාර කපාගන්න.
ඊට පස්සේ  skills develop කරගන්න compititions වලට යන්න. Bridal dressing එකක time manage කරගන්න හොඳම විදිය compititions වලට යන එක. Time manage කරන විදිය හොදටම තේරෙනවා එතකොට. එක විනාඩියත් වැදගත්. අපේ අඩු පාඩු අනික් අයත් එක්ක අපිටම compare කරගන්න පුලුවන්. පොඩිම වරැද්දක්වත් වෙන්න බෑ කියලා අපිට තේරෙනවා. ගහනකොණ්ඩ කට්ට ගැන පවා හිතන්න ඕන අපි. ඒක නිසා පුලුවන් තරම් compititions වලට යන්න.
මම ගියපු පළවෙනි තරඟෙම මම දිනුවා. මම ලොකු විශ්වාසෙකින් ගියේ. ඒකමයි මගේ ජයග්‍රහණයට හේතුව. මම එතකොට ගොඩක් පොඩී. එතන ඉන්න අය ඇහුවා ඔයා ඉස්කෝලේ යන ගමන් ද ආවේ කියලා. ඇඟ පොඩි උනාට වැඩ පොඩි නෑ කියලා එයාලා කිව්වා. මොකද මම හිතින් ශක්තිමත්. මම මට පුලුවන් උපරිමය මම හැම වෙලේම කරනවා. ඒකත් මේ ජයග්‍රහණ වලට එක හේතුවක වෙන්න ඇති.
ඒක නිසා දෙයක් පටන් ගන්න හිතනවා නම්, මුලින්ම ඒ දේ ආසාවෙන් කරන්න. උනන්දුවෙන් කරන්න. කැපවීම තියෙන්නම ඕන. ඒ දේවල් එක්ක ඉස්සරහට යන එක ඉබේටම වෙනවා. හැම වෙලේම Update වෙන්න. අලුත් දේවල් ගැන හොයන්න. ඉගෙනගන්න. මම තවම ඉගෙන ගන්නවා. Beauty culture කියන්නේ කවදාවත් නැති වෙන දෙයක් නෙවෙයි, හැමදාම update වෙන ලස්සන ලෝකයක්. ඒ ලෝකේ ජීවත් වෙන්න. හැමදේම ලස්සනට පෙනෙයි.
මේ තියෙන්නෙ මම ජයග්‍රහණය කරපු දේවල්.මගේ පලවෙනි සහ දෙවෙනියට සහභාගී වුන තරඟ වලින් හම්බුන දේවල් සහ මම  හැඩගන්වපු මනමාලියන්. අදටත් ආසාවෙන් මතක් කරන දෙයක්. 🙂🙂🙂
✍️✍️✍️ මාශි නෙහන්සා...",Positive,
,Mashi Nehansa ,"Corona නිසා business ඔක්කම වැටුණා කියලා හැමෝම කියද්දි, අලුතෙන් කිසි  දෙයක් පටන් ගන්න එපා කියලා හැමෝම කියද්දි, මම මගේ අලුත් ව්‍යාපාර පටන් ගත්තේම ඒ කාලේ, ලොකු risk එකක් අරන් මම පටන් ගත්තා වගේම මහන්සි වෙලා වැඩත් කලා, corona ආව ගමන් සැලෝන් වහන්න උනා, තියන එකම income එක,එක business එකක් විතරක් වුනාම ඒක වැටෙන්න හේතු හැදෙනකොට මම තේරුම් ගත්තා එක bussiness එකකින් විතරක් අපිට ඉස්සරහට යන්න අමාරුයි, සැලෝන් කියන්නේ නිතරම client ට ලං වෙලා වැඩ කරන දෙයක්, ඉතින් corona ප්‍රශ්නත් එහෙම contact නොවී කරන්න පුලුවන් විදියට මම කරන්න පුලුවන් දෙයක් ගැන හිතද්දි තමයි මම මගේ ඇකඩමි එකත් එක්කම online courses පටන් ගත්තේ, ඉස්සර මම
A/L ඉවර වෙලා පොඩි අයට maths and english tuition කලා, මට ඒ නිසා උගන්නන එක අලුත් දෙයක් උනේ නෑ, ඒ වගේම teach කරන්න අවශ්‍ය qualifications හැමදේම
මම ඒ වෙද්දි හදාගෙන තිබ්බේ, ",Positive,
,Thimira Madhusanka Thenuwara,"එංගලන්තේ ළමයින්ටත් කන්න ඥෑ ලංකාවේ ළමයින්ටත් කන්න ඥැති උනාට අවුලක් ඥෑ වගේ කතා ඔළුවට බස්සලා නිදහසට කාරණා ඉදිරිපත් කරන, මහළු දේශපාලඥයන්ව පාර්ලිමේන්තු යවන, ඒ කතා සාධාරණීකරණය ඔබට සැමට බුදු සරණයි. උංට බලය ගැන මිසක් රටේ ජනතාව ගැන කිසිම හැඟීමක් නැති බව නොවැටහීමම ඔබේ මරි මෝයන්න ඩයන්න කමයි.
",Negative,
,anurudha bandara,"Dropshipping උගන්නනවා කියල 25,000ට course දාල Etsy ලංකාවට banned කරවගත්තා.
ඊට පස්සෙ Binance අරක මේක කියල පටන් අරගෙන ඒකටත් කෙලියා.
දැන් Fiverr, 
ඔය එක එක ඒවා උගන්නන අයට ඔච්චර skill එකක් තියේ නම් වටේට වැඳ වැඳ මිනිස්සු රවට්ට රවට්ට network, pyramid type එකට කොල්ලො කෙල්ලෝ ගෙන්නගෙන 25,000 කෑලි හොයන්න ඕනේ නෑ, ඒ platform එකෙන්ම තනියම ගේමක් ගහල ගොඩ යන්න පුළුවන්.
ලංකාවට ඒකත් බෑන් උනාම සිරාවටම ගේමක් ගහලා ඕකෙන් හම්බකරපු උන් පව් ඉතින්. මෝයන්න ඩයන්න යෝයන්න වගේ අනුන්ගෙන් හම්බනොකර තමන්ගෙම ස්කිල් එකකින් ගියානම් ඔය හී ක්ලබ් ගානෙ ගිහින් පුයන්න කයන්න දෙන්න ඕන්නෑ හැබැයි.",Negative,
,Thimira Madhusanka Thenuwara,"ඉදිරියේදී පැමිණීමට නියමිතයැයි සැලකෙන ලෝක ආර්ථික අවපාතයට මුහුණ දීමට ඇති ඔබගේ පෞද්ගලික සැලසුම් කෙසේද? (ශ්‍රී ලංකා ආණ්ඩුව ගැන නම් කතා කරන්න එපා, එයාලට එහෙම එකක් නෑ. 🙂👍🏻 ඒක නිසා තමන් ගැන තමන් බලාගන්න වෙයි.)",Negative,
,Thimira Madhusanka Thenuwara,"පෙනීමේ කිසිම ප්‍රශ්නයක් නෑ, ඔයාගේ ඇස් දෙක වෙහෙසිලා වැඩි පුතා. එක්කො ඔයා computer එක ඉස්සරහ ඉන්නේ නැතුව, නිදි මරන්නේ නැතුව ඉන්න බලන්න. එහෙමත් නැත්තම් screen එක දිහා බලං වැඩ කරන වෙලේට කන්ණාඩි දාන්න. නැත්තම් ඔය හැදෙන ඔලුවේ කැක්කුම නවත්තගන්න නම් බැරි වෙයි. 
ඔළුවෙ කැක්කුමක් නිසා targets වලට යන එක නවත්තන්න දෙන්න? මං? Target එකට යන පාරේ එන ඕනෑම බාධකයක් අයින් කරගෙන මගේ ගමන මං යන්නෝනේ.
ඔයාටත් සමහර විට මෙහෙම ඔළුවේ කැක්කුමක් තියෙනවා නම් පැනඩෝල්, මෙෆන් බිබී ඉන්නේ නැතුව, එක එක දොස්තරලා ගාවට යන්නේ නැතුව හරියට ලෙඩේ අඳුරගන්න පුළුවන් ඩොක්ටර් කෙනෙක් ගාවට ගිහිං ලෙඩේ මොකක්ද කියල හොයාගෙන ඒකට ප්‍රතිකර්ම කරන්න. ",Positive,
,Dilshan T Amarasinghe,"2018 බොහොම පොඩියට මම පටන් ගත්ත මගේ බ්‍රෑන්ඩ් එක ගැන අවුරුදු 4 පස්සේ ලැබෙන මේ ප්‍රතිචාර වලට බොහොම ආදරෙයි. 
""MR. BEARD STORE අපේ ස්ටෝර් එකෙන් පෞද්ගලිකව මට භාවිතා කිරිමට නුසුදුසු කිසිම ප්‍රඩක්ට් එකක් මගේ පරිභෝගිකයන් අතට යන් නැ.""
ස්තුතියි.!!!!",Positive,
184166T,Dammika Perera,"DP Education දෙවන සංවත්සරය අදයි...
""ලංකාවේ ලොකුම ඔන්ලයින් පාසල""",Positive,
,Abhisheka Wimalaweera,ONLINE TRAFFIC එකක් හදල මගේ අතට TICKETS ටික එන්නත් කලින් නෙළුම් පොකුණෙ ආසන 1250 ම පැය 48 ක් ඇතුළත  පුරවපු ඔබේ ආදරය මැජික් එකක්.,Positive,
,Madhava Wijesinghe,"ළමයින් බලා ගනු ලැබේ! 😅
With these cute little angels 😘
Arya & Ayana ❤️",Positive,
,Madhava Wijesinghe,"""එකපාරටම ඇතා නඳුනිව අල්ලගත්තා ගලවගන්න බැරි විදිහට.""
Video එක බලන්න පුලුවන් 1st comment එකේ තියන youtube link එක click කලොත්.",Positive,
,Dinesh Gamage,"මිලියනයක  ආදරය , හදවතේ trending වූ ""සෙංකඩගල නුවරට වහින වැස්සට ""තෙමුන  ඔබ හැමදෙනාටම ස්තූතියි 🌧💖.",Positive,
,Thorz,Madam මේක ඔබ තුමියගේ City  එක වෙන්න පුලුවන් ඒත් මේක අපේ රට .,Negative,
,Thorz,"Without obsession, life is nothing.🤣 Rosi Mam Said she is going to do everything she can to stop this event. But leagaly she can’t do anything . ඒ තරම් මිතයා මත වල පැටලිලා so how can she do something for the people unless her Born Again Paster tell her what to do what not to do ?  ",Negative,
,Thorz,This is hilarious 🤣 Born Again 🖕මෙවැනි මිත්‍යා මත වලින් රට පිටි පස්සට අදිනවද නැතිනම් අලුත් පරපුර මේ දෙවල් වලින් මිදිලා රට ඉස්සරහට ගෙනියනව ද කියලා හෙට තීරණය කරමු. ඔයාලත් හෙට එන්න ටිකට් එක වැඩි නොකර 6000 ට ම දෙනවා හෙට Lotus Tower entrance එකේ. ,Negative,
,Iraj,"මේ Maharagama අද පමුණුව ඇදුම් ගන්න ඇවිල්ලා ඉන්න කටිටය...
කොරෝනා ඉවරද ? 🤔",Negative,
,Iraj,"නසරාණී පොඩි උන් ඉන්න ගෙවල්වල දෙමව්පියෝ කලබල වෙන්නෙ උන් කෑකෝ ගහන කොට නෙමෙයි... 
කිසිම සද්දයක් නැතුව ඉන්නකොට 👀",Negative,
184113F,Kumara Sangakkara," Amazing Song, අපේ කොල්ලෝ, අපේ අභිමානය!",Positive,
,Dhanith Sri,"MELBOURNE, BRISBANE, ADELAIDE, SYDNEY
ආයුබෝවන්!!! 🙏❤️
So excited to be there on stage and share this new experience with all of you.
ස්පන්දන - Pulse Of Youth Concert 2022 ✨️",Positive,
,Ridma Weerawardena,"""යන්නම් මතකෙන්..."" Releasing Today❤️
Thank you for being patient with me throughout my long silence..",Positive,
,Thorz,"ලංකාවේ තරුණ photographers ලා ගොඩක් අපිට join වෙන්න ඇහුවා , ඉතින් අපි මේ පාර හැමොටම camera අරන් එන්න permission දෙනවා. හොදම photographs ටික ගන්න අයව EMF media team එකට ගන්නවා.",Positive,
,Supun Perera,මගේම සරසවියේ මගේම Band එකත් එක්ක මේ ඓතිහාසික ප්‍රසංගය කරන්න ලැබීම භාග්‍යක් ♥️ ,Positive,
,Laka Darmarathna,"""තවදුරටත් උඹලාට අපිව පාලනය කළ නොහැක....
දැන් උඹලා අපට වගකිව යුතුමය......""
හේතුව, ZOMBIE TOWN ඔන් ද වේ ය........අඩුම තරමේ උඹලාගේ ගැලවීමටවත් එකතුවෙයල්ලා....... කල් ගන්න නං එපා........ කෙලමවෙලා නවතින්නේ ........",Negative,
,Laka Darmarathna,"මට රාජපක්ෂ මහත්තයල 'රාවණා' promote කරන්නේ ඇයි කියලා හරියටම තේරුණේ අද...... මූණු අත් හෙණ ගොඩක් තිබ්බට ඒව පාලනේ කරනනේ එක ඇඟයි, එක හදවතයි.....
පොඩි සහසක් කියන්නද...?  ඔළු දොළහක් තිබ්බට ඒකෙ මොළ දොළහක් නෑ මට හිතෙන්නෙ. තියෙන්නේ එක මොළයයි main ඔළුවේ, අනික් ඔළු ඔක්කොම Empty cans....",Negative,
,Laka Darmarathna," මටනං මේක හෙණම විනෝදය...... ඒත් අරගලයේ එවුං කියන්නේ තමන් පැරදුණා කියාය. ඒ ස්ට්‍රැටජියත් මරුය, හැබැයි fetish ය......ඒ අතින්  උඹලානං අම්මපල්ලා මරුම බඩු ටිකකි. ",Negative,
,Thorz,Colombo පාලනය කරන්නේ රෝසි සේනානයකද? නැත්නම් phone charge කරන පාස්ටර් වරුද?,Negative,
,Dhanith Sri,"මිනිස්සුන්ට පයින් ගහන, කඳුලු ගෑස් ගහන උඹලටත් තියෙන්නේ job එක නැතිවෙයි කියන බය. ඔය job එකෙන් වැඩක් නෑ මනුස්සයෝ. ඕකෙන් හම්බෙන පඩියෙන් අවම පහසුකමක්වත් ගන්න පුලුවන්ද? ඉස්සරහට ඔය ටිකත් හම්බෙන් නෑ.. 
අපිත් 9 වෙනිදා තියෙන්න තිබ්බ නාදගම postpone කරා. ඒ අපේ job එක. මේකටවත් ආවේ නැත්තම් මෙච්චරයි ඔයාට හිතන්න තියෙන්නේ. තමන් කොච්චර ආත්මාර්ථකාමී ද කියන එක. ",Negative,
184061R,Lasith Malinga,"𝐓𝐡𝐞 𝐁𝐢𝐠 𝐅𝐢𝐧𝐚𝐥 𝐢𝐬 𝐡𝐞𝐫𝐞🇱🇰🇵🇰
SL is playing a final of a major tournament after years. Kudos to the team for making it happen❤️
Let’s wish Dasun Shanaka and our boys all the best for the Asia Cup 2022 Final.
ජයවේවා කොල්ලනේ💪
Join me live at 4PM today to discuss our tactics for the all important fixture👇
https://youtube.com/c/LasithMalinga99
#TheGameRead #AsiaCup2022",Positive,
,Dilantha Malagamuwa,"සුභ උදෑසනක් ඔබ සියලු දෙනාටම. 19 වියේ පසුවන ශෙහාන් චන්ද්‍රසෝම ඊයේ සහ පෙරේදා ඇමරිකාවේ Virginia International Raceway ධාවන පථයේදී පැවති උතුරු ඇමරිකානු Lamborghini Super Trofeo ශූරතාවයේ තරග දෙකම ජයග්‍රහණය කර අප රටට විශාල කීර්තියක් ලබා දුන්නේය.
ලෝකයේ ධනවත්ම සහ ප්‍රබලවත්ම රටවල් සහ කණ්ඩායම් සමග තරග වදිමින් දශක 3ක් පමන මමත්,ශෙහාන් ඇතුළු ධාවකයන් කිහිප දෙනෙකු නොකඩවා අප රටට ජයග්‍රහණ ලබා දෙමින් කීර්තියක් ලබා දී ඇත. ඒ සියල්ලටම නිහතමානී ශ්‍රී ලාංකිකයන් දුන් ආශිර්වාද වලට බොහෝම ස්තූතියි.🙏",Positive,
,Charitha Herath,This economic crisis is man-made. It didn't emerge naturally. මේ ආර්ථික අර්බූදය වැරදි ප්‍රතිපත්ති නිසා නිර්මාණය වූ එකක් මිසක් ස්වභාවික එකක් නොවේ.,,
,Mahinda Deshapriya ,"දැල්පන්දු🏀 ☑️
ඒ කණ්ඩා‍යමට බොහෝ තුති. 👊✌❤
කඩුලුපන්දුත්🏏 ☑️තමයි .
Cricket lovely cricket",Positive,
,Kanchana Wijesekara,"ලංකා ඛණිජ තෙල් නීතිගත සංස්ථාවේ ඉන්ධන ආනයනික වියදම සහ අලෙවි කරන මිල ගණන් 
Cost Breakdown & Pricing of Imported Petroleum Products by CPC. 
මෙය සකස් කිරීමේදී පසුගිය දින 30ක සාමාන්‍ය ප්ලැට්ස් අගය, පසුගිය දින 30ක සාමාන්‍ය ඉන්ධන මත ගෙවන ලද අගය, පසුගිය දින 30ක සාමාන්‍ය විදේශ විනිමය අනුපාතය, බෙදා හැරීමේ වියදම් සහ ඉන්ධන පිරවුම්හල් වෙත ගෙවන අගයන් පාදක කර සකස් කර ඇත. 
Last 30 days average Platts prices, last 30 days average premiums paid, last 30 days average exchange rates, average transport costs & full dealer margins are taken into consideration.",Positive,
,Tissa Jananayake,"Tissa Jananayake -  Special Episode | ගෝඨාභයා රාජපක්ෂ වහාම ඉල්ලා අස්වනු!
තිස්ස සර්ගේ පන්තියේ මේ වගේ videos තව බලන්න, අපේ youtube channel එක අදම subscribe කරන්න. 👇👇👇👇👇",Negative,
,Peshala Manoj,"හලෝ නංගී ඔයාලා සම්බන්දව මට තරහක් නෑ මොකද ඒ කාලේ ඔයාල කලේ job එකක් එයට ප්‍රතිලාභ විදියට ඔයාලට මොනාද ලැබුනේ කියල අපි දන්නේ නෑ එහෙම ලැබුන එක ගොඩාක් අය සල්ලි වලට ප්‍රථිලාභවලට වැඩ කරනවා ඒක  අවුලක් නෑ job එකක් කලාම එහෙම තමයි.නංගී ඔයාට එදා ඇත්තටම කට්ටක් ඇනුනානම්, සාධාරණයි නමුත් අද හරි නම් ඔයාට අලවංගුවකින් ඇණෙනවා වගේ දැනෙන්න ඕනි,මේ රටේ මිනිස්සු විඳින දුක දැක්කම.එහෙම කරන්න එපා නංගී දැනුත් මේ රටේ අහිංසක මිනිස්සු වෙනුවෙන් පෙනී ඉන්න,ඒකයි මහත්මා ගතිගුන තාරුණ්‍ය විදිහට රට වෙනුවෙන් සියලුම ශ්‍රී ලාංකිකයින් වෙනුවෙන් පෙනී ඉන්න අන්න ඒකයි මනුස්ස කම නංගී නැත්න්ම් ඔයාලටත් මිනිස්සු ශාප කරයි. IRAJ  මචන් මේ නංගිගේ නම දන්නේ නෑ දන්නවානම් tag කරපන් මචන් 🤔🤔🤔🤔🤔",Negative,
,Chanux Bro,"Link එක 👉 www.youtube.com/chanuxbro
ඉතිරි Data ගාන බලනවා වගේ, තෙල් බලන්න වෙයි කියලා කවුද හිතුවේ 🙄",Negative,
,Pathum Kerner,දැන් තියෙන්නේ ලෝක වෙළඳපොළ මිළ සමග සමාන්තරව වෙනස් වෙන තෙල් මිළක්. Cost Recovering Energy Pricing. අඩු වෙන කොට සතුටු වීම වගේම වැඩි වෙන විට දුක් වීමත් පලක් නෑ. මිළ විචල්‍ය යි.,Negative,
,Harin Fernando,"Launch event of save the Sri Lankan smile. 
#savethesrilankansmile
සබද අපි කුදු / කදු / කුඩු කැමති දෙයක් කියමු , රටේ සිනහව රකිමු.",Negative,
184114J,Shehani Kahadawala,"Yeyyy finally it’s up මගේ පළවෙනි Dance cover එක දැන්මම ගිහින් බලන්න 👇 🙈 
Subscribe කරන්න අමතක කරන්න එපා ❤️😘😘😘",Positive,
,Iraj,පරණ Car එකක් හැබැයි මරු නේද ? ❤️,Positive,
,Sachith Peiris,මේ photo එකට එක්කෙනෙක් දෙන්නෙක් මාව tag කරලා කියලා තිබ්බ මේක දැක්කම අයියාව මතක් වෙනවා කියලා. ,Positive,
,Piumi Hansamali,ඇයි අනෙ මෙහෙම මල කොලම් හිතට අරං නලවන්න ගිහින් එක too much වෙලා 😂,Negative,
,Sajitha Anuththara Anthony,මන්දාරම් කතාවක් අරගෙන පලවෙනි පාරට Rathnaපුරේ අපි එනවා October 22 ,Positive,
,Harin Fernando,If සුද්දා අයෙත් come 🙏 we can අයෙත් live සතුටින් ☺️,Positive,
,"
Thilini Perera
","I cant stop laughing 😀😀
""ශවේන්ද්‍ර සර්ගෙන් අහන්නකෝ"". ඥානා මෑනියෝ දැන් කියන කතාව.",Negative,
,Neville Lahiru,Apple going USB C. I'm sure it's totally not related to the recent EU ruling. Apple හූ හූ,Negative,
,Dilan Senanayake,"ඔක්තෝබර් මාසයේ සිට කරන්ට් කැපුවොත් T20 World Cup එක බලන්න බැරි වෙයි
(බලමු එහෙමවත් අපේ රටේ රාවණාලා ටික ඇහරවගන්න)",Negative,
,"Thilina Ruhunage 
",හරි .. අවුලක් නෑ.. අලුත් ම System එක තාම මිනිස්සුන්ට තේරුම් ගන්න අමාරුයි. ඒකයි මේ වේදනාව. පජාත ටීම් එකකට මුලින්ම පරදින එක සහ එතනින් එහා ගහන ඔක්කොම දිනන අය Sri Lanka Cricket නම් වේ. ඉත්තෑ කටු පුපේ අනුන අපි,Negative,
184122G,Umariya Sinhawansha,"අදත් අපි වියලි ආහාර සහ ලමයින්ට පොත් පත් බෙදුවා. පවුල් 40කගේ කුසගින්න නිවන්න හම්බවුන එක ගැන සතුටු වෙනවා. ආධාර ලබා දුන් සැමට ස්තූතියි. ගොඩක් පින් 🙏🏽❤️ 
To all donations from different parts of the world. We are truly grateful 🙏🏽❤️ 
#SriLanka #HelpSriLankan",Positive,
,Umariya Sinhawansha,හිනා වෙලා ගෙවමු ජීවිතේ.. 😍😍 happy Sunday!! ❤️❤️❤️ ,Positive,
,Dhammika Perera,"සියලූ දෙනාටම නීරෝගිමත්, සුබ අලුත් අවුරුද්දක් වේවා !
Wishing Everyone a Prosperous New Year Blessed with Good Health and Happiness...",Positive,
,Nawran,"ලංකාවේ 🇱🇰 කොල්ලෙක් කරපු Eminem ගේ lyrics video එක! 🔥
Talent එක තියෙන එකා කොහේ ගියත් වැඩ්ඩ තමයි. Keep rocking Randy! 🔥 Randy වගේ කොල්ලෝ ලංකාවටම ආඩම්බරයක් ",Positive,
,Caroline Jurie,ආසියානු නෙට්බෝල් රැජිනියෝ Asia's Netball Queens .Well done girls ,Positive,
,Anuruddha  Bandara,"This devastation brings me a kind of joy, rather than sadness or anger. This ensures that the corrupted leaders are yet to read #aragalaya. මේ විනාශය මට දුකකට  හෝ වෛරයකට වඩා ගෙන එන්නේ සතුටකි. දූශිත පාලකයා තවමත් #අරගලය  කියවාගෙන නැති බවට මේවා සාක්ශි දරයි",Negative,
,Pathum Kerner,"88/89 චිත්‍රය මවලා පෙන්නන්න ඔවුන් උත්සාහ කරනවා. වෙඩි තියනවා, බස් ගිණි තියනවා. ටයර් ගිණි තියනවා. පාරවල් වහලා භීෂණය මවනවා. හැබෑ අරගලයෙන් ඔබේ අවධානය වෙනතක යවා නොගන්න.
They are trying to repaint 88/89 memories with shooting, blocking roads and setting fires.  Focus of true revolution",Negative,
,Anuruddha  Bandara,We condemn the Sri Lanka police for their immoral abuse of power and participation in state endorsed violence against the people of Sri Lanka and their constitutional right to protest and assemble peacefully. #අපිඅරගලේ,Negative,
,Munza Mushtaq,"Save energy, they said.  Not enough dollars to import fuel, they said. But they have money to light up this කෙහෙල් මල, while the rest of us must be in darkness twice a day.  #LKA #SriLanka #FuelCrisisLK",Negative,
,Rasika Jayakody,"Every great nation in the world is built on great founding principles. Can you think of #SriLanka’s founding principles?
They seem to be,Theft,Corruption, Lying . Can we ever overcome this crisis, as long as we have the above three as our “founding principles”? (ලංකාවට කෙළ වුණේ ඇයි?) ",Negative,
184041G,Life of a Naturalist ,"One of the greatest, most realest, fitness motivation speeches ever given in the history of human kind. This is why I am staying Single. #mahMan #ලවුකරන්නඑපාමචං #gymඇතුලටපලයං #බඳින්නමචං #ඔක්කොමකරන්නපුලුවං #thankyouස්තූතී",Negative,
